"No ciclo de vida da Engenharia de Dados, qual etapa trata da criação inicial dos dados por sistemas como APIs, logs e IoT?",Geração de Dados (Data Generation).
"No Machine Learning, o que é 'Overfitting'?",Quando um modelo aprende tão bem os detalhes do treino que falha em generalizar para novos dados.
Qual biblioteca Python é amplamente utilizada para visualização de dados estáticos e gráficos?,Matplotlib (ou Seaborn).
O que caracteriza uma 'Máquina Reativa' na classificação de tipos de IA por funcionalidade?,"IA que apenas reage a estímulos atuais seguindo regras pré-programadas, sem memória de curto ou longo prazo."
"Na computação em nuvem, o que é o 'S3' da AWS?",Um serviço de armazenamento de objetos (Storage).
Qual é a função de um 'Reverse ETL'?,Mover dados processados de um Data Warehouse de volta para sistemas operacionais (como CRMs).
"No roadmap de Python, o que é um 'Ambiente Virtual' (Virtualenv)?","Uma ferramenta para criar ambientes isolados para diferentes projetos, evitando conflitos de dependências."
Qual algoritmo de Machine Learning é comumente usado para tarefas de classificação baseadas na proximidade de pontos vizinhos?,K-Nearest Neighbors (KNN).
"Em SQL, qual cláusula é usada para filtrar grupos criados pela instrução GROUP BY?",HAVING.
O que é o 'BigQuery' no Google Cloud?,Um data warehouse de análise totalmente gerenciado e sem servidor.
Qual é a diferença entre 'SCD Tipo 1' e 'SCD Tipo 2' na engenharia de dados?,"O Tipo 1 sobrescreve os dados antigos, enquanto o Tipo 2 mantém o histórico criando novos registros."
O que é um 'Large Language Model' (LLM) multimodal?,"Um modelo capaz de processar e gerar múltiplos tipos de dados, como texto, imagens e áudio simultaneamente."
Qual é a principal função da arquitetura 'Snowflake' em modelagem de dados?,Normalizar as tabelas de dimensões para reduzir a redundância de dados.
"Em Python, qual função builtin retorna o número de itens em um objeto (como uma lista ou string)?",len().
"No contexto de IA, o que significa 'Reinforcement Learning' (Aprendizado por Reforço)?","Aprendizado baseado em tentativa e erro, onde o sistema recebe recompensas ou punições por suas ações."
O que é 'Data Governance'?,"O conjunto de processos, políticas e padrões que garantem o uso eficaz e seguro dos dados em uma organização."
Qual é a finalidade da biblioteca 'NumPy' em Python?,"Suporte para arrays e matrizes multidimensionais, além de funções matemáticas de alto nível."
"No prompt engineering, o que é a 'Expectativa'?","A definição de como o modelo deve responder para melhor atender à solicitação (formato, tom, etc.)."
O que é 'Data Lineage'?,O rastreamento da origem dos dados e das transformações pelas quais eles passaram ao longo do tempo.
Qual operador SQL é usado para procurar um padrão específico em uma coluna?,LIKE.
"Em Python, qual é a função do bloco `try...except`?",Tratamento de exceções e erros durante a execução do código.
O que são 'Modelos de Base' (Foundation Models) na IA Generativa?,Modelos treinados em volumes massivos de dados que servem como ponto de partida para diversas aplicações específicas.
Qual é o objetivo da normalização de dados em bancos de dados relacionais?,Reduzir a redundância e melhorar a integridade dos dados organizando tabelas e colunas.
O que define a 'IA Forte' ou 'IA Geral'?,"A capacidade teórica de uma máquina compreender, aprender e aplicar conhecimento em qualquer tarefa no nível da inteligência humana."
"Em SQL, qual comando é usado para alterar dados existentes em uma tabela?",UPDATE.
"No ecossistema de Big Data, qual componente do Hadoop é responsável pelo armazenamento distribuído de arquivos?",HDFS (Hadoop Distributed File System).
Qual é a função de um 'Decorator' em Python?,Uma função que envolve outra função para estender seu comportamento sem modificá-la permanentemente.
O que é 'Tokenização' no contexto de segurança de dados?,O processo de substituir dados sensíveis por símbolos não sensíveis (tokens) que mantêm o formato mas não o valor original.
Qual técnica de Deep Learning é especificamente eficaz para tarefas de visão computacional e reconhecimento de imagem?,Redes Neurais Convolucionais (CNNs).
"Em SQL, qual instrução é usada para excluir uma tabela inteira e sua estrutura do banco de dados?",DROP TABLE.
O que significa 'Idempotência' no contexto de Infraestrutura como Código (IaC)?,"A propriedade de uma operação que produz o mesmo resultado final, independentemente de quantas vezes seja executada."
